risk_id,risk_type,trigger_event,description,likelihood,impact_range_days,recommended_action,tags
RISK-011,Weather,High wind conditions,Strong winds can prevent crane operations and create safety hazards on open structures.,Medium,1–2,"Monitor wind forecasts and suspend crane use above safe thresholds.","wind,weather,crane"
RISK-012,Safety,Trench collapse risk,Unshored or improperly sloped trenches can collapse and endanger workers.,Medium,2–5,"Use trench boxes, follow OSHA trenching standards, and conduct daily inspections.","trench,safety,excavation"
RISK-013,Labor,Skilled labor shortage,Shortage of qualified tradespeople can delay electrical, plumbing, or finishing tasks.,High,3–10,"Secure labor early, maintain subcontractor relationships, and consider incentives.","labor,trade,shortage"
RISK-014,Utilities,Utility strike during excavation,Accidental strikes of gas, water, or electrical lines can halt work and trigger investigations.,Medium,1–6,"Call utility locate services before digging and review site utility maps.","utilities,excavation,strike"
RISK-015,Technology,Software outage in project management tools,Loss of scheduling or documentation software access can cause communication breakdowns.,Low,1–2,"Use cloud backups, offline access options, and notify team of protocols during outages.","software,scheduling,communication"
RISK-016,Environmental,Noise complaints from nearby residents,Excessive noise can lead to restricted work hours or city-imposed penalties.,Low,1–3,"Use quieter machinery, limit noisy work to daytime hours, and notify nearby residents in advance.","noise,community,penalty"
RISK-017,Quality,Concrete not meeting strength test criteria,Failed strength tests may require partial demolition and rework of poured elements.,Medium,5–12,"Ensure proper curing, test sample batches, and adjust mix design if needed.","quality,concrete,test"
RISK-018,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,Low,7–14,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-019,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,High,1–2,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-020,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Low,1–2,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-021,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Medium,7–14,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-022,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,High,5–10,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-023,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,High,1–2,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-024,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,High,1–2,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-025,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,1–2,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-026,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Medium,10–20,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-027,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Low,2–5,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-028,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Low,3–7,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-029,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,High,10–20,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-030,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Low,2–5,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-031,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,10–20,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-032,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Medium,1–2,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-033,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Medium,3–7,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-034,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Medium,1–2,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-035,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,High,7–14,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-036,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Low,5–10,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-037,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,7–14,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-038,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Low,3–7,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-039,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,10–20,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-040,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,Medium,10–20,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-041,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,Low,2–5,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-042,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Medium,1–2,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-043,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,5–10,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-044,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,High,7–14,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-045,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,High,10–20,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-046,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,High,1–2,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-047,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,Low,10–20,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-048,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,High,2–5,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-049,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Low,5–10,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-050,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,High,1–2,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-051,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,Low,2–5,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-052,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Low,3–7,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-053,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Low,1–2,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-054,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,High,1–2,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-055,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,10–20,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-056,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,High,10–20,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-057,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Medium,5–10,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-058,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Low,7–14,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-059,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,3–7,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-060,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Low,5–10,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-061,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Medium,7–14,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-062,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,High,2–5,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-063,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,High,2–5,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-064,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,High,7–14,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-065,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Medium,2–5,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-066,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Low,7–14,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-067,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,High,3–7,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-068,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,7–14,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-069,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,Low,3–7,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-070,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,Low,10–20,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-071,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,High,1–2,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-072,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,Medium,2–5,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-073,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Medium,3–7,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-074,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Medium,2–5,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-075,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,Medium,3–7,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-076,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,10–20,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-077,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,2–5,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-078,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Medium,3–7,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-079,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Medium,2–5,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-080,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,High,5–10,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-081,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,High,7–14,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-082,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,1–2,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-083,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Low,5–10,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-084,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Low,2–5,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-085,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,10–20,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-086,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,Low,7–14,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-087,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,1–2,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-088,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,Medium,10–20,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-089,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,High,5–10,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-090,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,Low,7–14,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-091,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Medium,1–2,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-092,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,High,1–2,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-093,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,High,7–14,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-094,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,High,3–7,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-095,Utilities,Trigger related to utilities issue,This is a typical issue related to utilities that may occur on a jobsite.,Low,5–10,"Use site utility maps, confirm line locations, and call before digging.","utilities,construction,risk"
RISK-096,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,Low,7–14,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-097,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Low,7–14,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-098,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,Medium,7–14,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-099,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,5–10,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-100,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Medium,5–10,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-101,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Low,1–2,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-102,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Medium,7–14,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-103,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,High,2–5,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-104,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,Low,10–20,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-105,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,High,5–10,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-106,Technology,Trigger related to technology issue,This is a typical issue related to technology that may occur on a jobsite.,High,3–7,"Ensure backups, maintain software access, and train users.","technology,construction,risk"
RISK-107,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,Medium,1–2,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-108,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Low,7–14,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-109,Weather,Trigger related to weather issue,This is a typical issue related to weather that may occur on a jobsite.,Medium,3–7,"Monitor forecasts, adjust schedules, and use weather protection measures.","weather,construction,risk"
RISK-110,Labor,Trigger related to labor issue,This is a typical issue related to labor that may occur on a jobsite.,High,7–14,"Plan staffing early, work with multiple subs, and offer incentives.","labor,construction,risk"
RISK-111,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,High,2–5,"Follow specs, test materials, and document inspections.","quality,construction,risk"
RISK-112,Safety,Trigger related to safety issue,This is a typical issue related to safety that may occur on a jobsite.,Medium,7–14,"Enforce PPE, provide safety training, and conduct daily hazard assessments.","safety,construction,risk"
RISK-113,Environmental,Trigger related to environmental issue,This is a typical issue related to environmental that may occur on a jobsite.,Low,10–20,"Conduct pre-project surveys, follow environmental regulations, and use mitigation tools.","environmental,construction,risk"
RISK-114,Logistics,Trigger related to logistics issue,This is a typical issue related to logistics that may occur on a jobsite.,Medium,3–7,"Pre-order materials, confirm deliveries, and maintain supplier communication.","logistics,construction,risk"
RISK-115,Equipment,Trigger related to equipment issue,This is a typical issue related to equipment that may occur on a jobsite.,Medium,3–7,"Schedule maintenance, inspect daily, and train operators.","equipment,construction,risk"
RISK-116,Permitting,Trigger related to permitting issue,This is a typical issue related to permitting that may occur on a jobsite.,High,5–10,"Track deadlines, maintain documentation, and follow up with agencies.","permitting,construction,risk"
RISK-117,Quality,Trigger related to quality issue,This is a typical issue related to quality that may occur on a jobsite.,Low,10–20,"Follow specs, test materials, and document inspections.","quality,construction,risk"
